;estado;cidade;pib;populacao;pib_percapita
97;RIO GRANDE DO NORTE;Rafael Godeiro;14798.20410156;3251;4551.89013672
98;CEARÁ;Novo Oriente;93621.4453125;28703;3261.72998047
99;PARAÍBA;Alcantil;22410.37304688;5232;4283.33007812
100;SANTA CATARINA;Meleiro;158156.390625;7063;22392.24023438
101;MATO GROSSO;Sapezal;1418892.125;15735;90174.2734375
102;MINAS GERAIS;Pouso Alto;80420.0546875;6494;12383.75
103;PIAUÍ;Dom Inocêncio;25457.23046875;10795;2358.23999023
104;SERGIPE;Santana do São Francisco;30641.17382812;6861;4465.99023438
105;MINAS GERAIS;Campanha;145911.328125;15949;9148.62011719
106;MINAS GERAIS;Orizânia;32101.34765625;7078;4535.37011719
107;SANTA CATARINA;São José do Cerrito;78940.25;10624;7430.37011719
108;PIAUÍ;Prata do Piauí;10738.21386719;3260;3293.92993164
109;MARANHÃO;Amarante do Maranhão;131346.625;37388;3513.07006836
110;BAHIA;Itaparica;102586.6484375;20796;4933.0
111;SÃO PAULO;Araraquara;4193535.25;200666;20898.08984375
112;SERGIPE;Indiaroba;86033.2578125;18126;4746.39990234
113;RIO GRANDE DO NORTE;Taipu;68109.515625;12165;5598.81005859
114;BAHIA;Nova Redenção;28909.56835938;9318;3102.55004883
115;PARÁ;Aveiro;54393.734375;20266;2683.98999023
116;PIAUÍ;Alegrete do Piauí;21006.09179688;4595;4571.50976562
117;RIO GRANDE DO SUL;Monte Belo do Sul;58234.10546875;2826;20606.55078125
118;PARANÁ;Nova Aurora;189617.90625;11636;16295.79980469
119;PERNAMBUCO;Santa Maria do Cambucá;48165.3125;12942;3721.62988281
120;SANTA CATARINA;Peritiba;46664.69921875;2977;15675.08007812
121;MINAS GERAIS;Brasópolis;105255.1484375;14756;7133.04003906
122;PIAUÍ;Lagoa Alegre;24826.51953125;8210;3023.93994141
123;PIAUÍ;Curimatá;40100.8359375;10765;3725.11010742
124;PARAÍBA;Barra de Santana;34139.8046875;8909;3832.06005859
125;MINAS GERAIS;Leme do Prado;22865.88476562;5145;4444.29003906
126;PARAÍBA;Alagoa Nova;123786.2734375;19799;6252.14990234
127;RIO GRANDE DO SUL;São Jerônimo;281260.28125;21289;13211.53027344
128;MINAS GERAIS;Rio Vermelho;62241.30078125;15343;4056.65991211
129;SÃO PAULO;Itapevi;3638207.25;205881;17671.41015625
130;BAHIA;Ibicuí;69475.15625;16464;4219.81982422
131;PARANÁ;Rancho Alegre;33275.3046875;4083;8149.72021484
132;RIO GRANDE DO SUL;Erval Grande;53334.69921875;5367;9937.53027344
133;MATO GROSSO;Planalto da Serra;33849.7578125;2797;12102.16992188
134;BAHIA;Santa Rita de Cássia;91663.0;27528;3329.81005859
135;MINAS GERAIS;Imbé de Minas;38283.34375;6641;5764.70019531
136;GOIÁS;Novo Gama;352584.96875;88835;3968.98999023
137;PIAUÍ;Passagem Franca do Piauí;14411.97558594;4246;3394.25
138;RIO GRANDE DO SUL;Chuí;140923.671875;5496;25641.13085938
139;CEARÁ;Ibaretama;42010.30078125;13206;3181.14990234
140;SÃO PAULO;Bastos;322317.3125;21380;15075.65039062
141;SÃO PAULO;Três Fronteiras;49727.08984375;5163;9631.4296875
142;GOIÁS;Britânia;48315.8125;5190;9309.41015625
143;MINAS GERAIS;Douradoquara;23141.8359375;1924;12027.98046875
144;PARANÁ;Piraí do Sul;293748.59375;24374;12051.71972656
145;SÃO PAULO;Américo Brasiliense;578886.875;33255;17407.50976562
146;BAHIA;Nordestina;35456.31640625;12670;2798.44995117
147;PARANÁ;São Manoel do Paraná;18855.14453125;2170;8689.00976562
148;SANTA CATARINA;Santa Cecília;201708.875;15928;12663.79003906
149;PARAÍBA;Serra Grande;12504.2421875;3147;3973.37988281
150;PIAUÍ;Alagoinha do Piauí;27277.73046875;7736;3526.08007812
151;SANTA CATARINA;São João do Sul;84870.84375;7174;11830.33984375
152;MATO GROSSO DO SUL;Anastácio;202939.390625;23047;8805.45996094
153;RIO GRANDE DO NORTE;Pedra Preta;12639.96777344;2718;4650.47021484
154;MARANHÃO;Alto Alegre do Maranhão;70238.390625;22914;3065.30004883
155;SERGIPE;Poço Redondo;138586.828125;30249;4581.52978516
156;SÃO PAULO;Sertãozinho;4155643.5;110999;37438.5703125
157;PARAÍBA;Riacho de Santo Antônio;9611.00976562;1588;6052.27001953
158;PARAÍBA;São José da Lagoa Tapada;29955.484375;8067;3713.34008789
159;BAHIA;Coronel João Sá;76828.921875;18408;4173.66992188
160;RIO GRANDE DO SUL;Sarandi;389289.53125;21828;17834.41015625
161;MARANHÃO;Governador Luiz Rocha;23451.05078125;7144;3282.62011719
162;MINAS GERAIS;Piranguçu;34538.80859375;5319;6493.47998047
163;BAHIA;Pedro Alexandre;58842.01171875;17698;3324.7800293
164;MARANHÃO;Morros;48157.7734375;17916;2687.97998047
165;RIO GRANDE DO SUL;Casca;201810.28125;8654;23319.88085938
166;PARANÁ;São Mateus do Sul;552378.875;41188;13411.16015625
167;RIO DE JANEIRO;Varre-Sai;88212.8359375;8852;9965.29980469
168;SÃO PAULO;Sabino;71262.4765625;5420;13148.05957031
169;SÃO PAULO;Caraguatatuba;1147377.5;96125;11936.30957031
170;BAHIA;Prado;285453.96875;26016;10972.25
171;SANTA CATARINA;Rio das Antas;86345.3984375;6237;13844.05957031
172;PARAÍBA;Cruz do Espírito Santo;71412.4453125;15854;4504.37988281
173;RIO GRANDE DO SUL;Protásio Alves;30150.00390625;2188;13779.70996094
174;BAHIA;Iaçu;109799.9453125;28602;3838.88989258
175;SERGIPE;Areia Branca;86116.2890625;16733;5146.49023438
176;RONDÔNIA;Itapuã do Oeste;84785.7265625;8235;10295.78027344
177;MINAS GERAIS;São João Evangelista;81616.9921875;16254;5021.35009766
178;PIAUÍ;Cocal;79448.5;27220;2918.75
179;PARANÁ;São Tomé;89769.359375;5522;16256.6796875
180;PERNAMBUCO;Lagoa do Ouro;48624.8359375;12244;3971.32006836
181;RIO GRANDE DO SUL;Cacique Doble;52123.5;5008;10408.04980469
182;RIO GRANDE DO SUL;Porto Xavier;142891.265625;11131;12837.24023438
183;MINAS GERAIS;Ewbank da Câmara;19510.05859375;3676;5307.41992188
184;RORAIMA;Pacaraima;93442.5703125;9220;10134.76953125
185;MINAS GERAIS;Viçosa;599764.125;74171;8086.22998047
186;MATO GROSSO DO SUL;Sonora;258011.5625;13334;19349.90039062
187;RIO GRANDE DO SUL;Jari;88814.828125;3802;23360.02929688
188;PERNAMBUCO;Joaquim Nabuco;96163.34375;16498;5828.79003906
189;MINAS GERAIS;Ubaporanga;69659.015625;12561;5545.66015625
190;PARANÁ;Tupãssi;137302.3125;7947;17277.25
191;SÃO PAULO;Santo Expedito;27413.52148438;2956;9273.86035156
192;RIO GRANDE DO SUL;Caiçara;60827.06640625;5240;11608.21972656
193;MARANHÃO;Capinzal do Norte;44285.91796875;10688;4143.52001953
194;RIO GRANDE DO NORTE;Caiçara do Norte;31648.85742188;6652;4757.79980469
195;SÃO PAULO;Paulo de Faria;121381.28125;9463;12826.9296875
196;PARANÁ;Ampére;193306.609375;18041;10714.84960938
197;PIAUÍ;Paes Landim;14581.94140625;4562;3196.38989258
198;MINAS GERAIS;Campo do Meio;83806.1875;11871;7059.74023438
199;PARANÁ;Anahy;33611.8046875;2926;11487.29003906
200;ESPIRITO SANTO;Serra;11531826.0;404688;28495.59960938
201;SÃO PAULO;São João do Pau d'Alho;36372.3046875;2191;16600.77929688
202;SÃO PAULO;Paulicéia;73761.8125;5791;12737.3203125
203;RIO GRANDE DO NORTE;Viçosa;8834.24511719;1856;4759.83007812
204;RIO GRANDE DO NORTE;Fernando Pedroza;12757.65820312;2994;4261.06982422
205;MINAS GERAIS;Aricanduva;23447.10742188;5140;4561.68994141
206;BAHIA;Araci;172730.890625;54713;3157.04003906
207;SÃO PAULO;Tremembé;393278.46875;41159;9555.09960938
208;TOCANTINS;Buriti do Tocantins;39691.9453125;8454;4695.04980469
209;GOIÁS;Cezarina;145802.765625;7832;18616.2890625
210;MARANHÃO;Vitorino Freire;122207.015625;31144;3923.92993164
211;RONDÔNIA;Ariquemes;1040960.75;85541;12169.13964844
212;PARAÍBA;Seridó;32620.47851562;10091;3232.62988281
213;PARANÁ;Castro;1097076.75;68071;16116.65039062
214;ALAGOAS;Santana do Mundaú;52134.53515625;12039;4330.47021484
215;PARAÍBA;Esperança;221022.5625;30855;7163.27001953
216;PARAÍBA;Poço de José de Moura;17580.734375;4118;4269.24023438
217;GOIÁS;Gouvelândia;120889.484375;4790;25237.890625
218;RIO GRANDE DO SUL;Ibiraiaras;136556.0625;7319;18657.75
219;ESPIRITO SANTO;Pancas;123706.6484375;18497;6687.93017578
220;RIO DE JANEIRO;Cardoso Moreira;203775.765625;12481;16326.87988281
221;PARANÁ;São Pedro do Iguaçu;84376.4140625;6561;12860.29980469
222;PARAÍBA;Uiraúna;65173.609375;14963;4355.64990234
223;ALAGOAS;Campo Alegre;182361.03125;47209;3862.84008789
224;SANTA CATARINA;Morro da Fumaça;370818.0;16128;22992.18945312
225;RIO GRANDE DO SUL;Westfalia;67336.796875;2843;23685.11914062
226;MINAS GERAIS;Catuti;22031.84960938;5473;4025.55004883
227;PIAUÍ;Cocal de Telha;15476.57128906;4689;3300.61010742
228;SÃO PAULO;Leme;1338844.125;88995;15044.04003906
229;SÃO PAULO;Nova Europa;113681.1171875;10092;11264.48046875
230;MARANHÃO;Bequimão;64784.91796875;21508;3012.12988281
231;PARANÁ;Quedas do Iguaçu;477660.84375;31976;14938.11035156
232;PARAÍBA;Maturéia;24164.58789062;6029;4008.06005859
233;ALAGOAS;Passo de Camaragibe;59784.6875;14261;4192.18017578
234;SÃO PAULO;São João das Duas Pontes;31190.76757812;2630;11859.61035156
235;SÃO PAULO;Promissão;771585.3125;37570;20537.26953125
236;PERNAMBUCO;Santa Cruz;53805.15234375;14782;3639.90991211
237;SERGIPE;Pacatuba;153896.0;12870;11957.73046875
238;BAHIA;Coribe;63455.30859375;14895;4260.18017578
239;RIO GRANDE DO NORTE;Messias Targino;21696.81640625;3923;5530.66992188
240;ESPIRITO SANTO;Alto Rio Novo;47128.93359375;6172;7635.93017578
241;SÃO PAULO;Novais;37936.8671875;3974;9546.26953125
242;PIAUÍ;Campo Grande do Piauí;20200.31054688;5898;3424.93994141
243;MINAS GERAIS;Inhapim;150295.234375;24952;6023.37011719
244;SANTA CATARINA;Ermo;40582.9296875;1857;21854.02929688
245;BAHIA;Araças;97321.03125;12209;7971.25
246;BAHIA;Conceição do Almeida;69316.4296875;17974;3856.47998047
247;GOIÁS;Orizona;234588.984375;15201;15432.46972656
248;CEARÁ;Acarape;56133.1015625;15627;3592.06005859
249;PARAÍBA;Pilõezinhos;21413.59960938;5470;3914.72998047
250;MINAS GERAIS;Serra Azul de Minas;17296.31054688;4479;3861.64990234
251;MINAS GERAIS;Passa-Vinte;12662.79980469;2132;5939.39990234
252;PERNAMBUCO;Petrolina;2283346.25;281851;8101.25
253;MINAS GERAIS;Juruaia;72658.75;8684;8366.96972656
254;BAHIA;Baianópolis;60239.99609375;14195;4243.75
255;MATO GROSSO;Gaúcha do Norte;132122.640625;6195;21327.30078125
256;MINAS GERAIS;Araújos;61315.7109375;7692;7971.35986328
257;SÃO PAULO;Santo Anastácio;225050.078125;21222;10604.5703125
258;RIO GRANDE DO NORTE;Riacho da Cruz;13750.82910156;3165;4344.64990234
259;PARANÁ;Peabiru;130212.734375;13347;9755.95996094
260;SÃO PAULO;Guzolândia;45986.609375;4917;9352.5703125
261;PIAUÍ;Regeneração;60257.28125;18190;3312.65991211
262;MARANHÃO;São José dos Basílios;27508.0546875;7489;3673.12988281
263;RIO DE JANEIRO;Queimados;1224457.75;139378;8785.16015625
264;TOCANTINS;Sucupira;29328.91796875;1741;16846.01953125
265;BAHIA;Cruz das Almas;387271.40625;57098;6782.56982422
266;MINAS GERAIS;São Sebastião do Oeste;141371.28125;5689;24849.9296875
267;TOCANTINS;Novo Jardim;21134.14648438;2525;8369.95996094
268;PARAÍBA;Alhandra;233951.8125;18941;12351.61035156
269;RIO GRANDE DO SUL;Alecrim;68632.7734375;7259;9454.84960938
270;PIAUÍ;Riacho Frio;16725.6796875;5093;3284.05004883
271;PARÁ;Marabá;3058909.0;203049;15064.87988281
272;TOCANTINS;Angico;19860.26953125;3300;6018.25976562
273;TOCANTINS;Palmeirópolis;63415.48046875;8492;7467.66992188
274;MINAS GERAIS;Santos Dumont;563264.25;47244;11922.45019531
275;BAHIA;Feira de Santana;6358135.5;591707;10745.41015625
276;SÃO PAULO;Pereiras;143394.953125;8076;17755.68945312
277;SANTA CATARINA;Rio do Sul;1234667.5;59962;20590.83007812
278;RIO GRANDE DO SUL;Anta Gorda;92337.53125;6326;14596.50976562
279;TOCANTINS;Santa Fé do Araguaia;59609.5390625;5795;10286.37011719
280;BAHIA;Jaborandi;161163.734375;8895;18118.4609375
281;MINAS GERAIS;Congonhal;89204.5078125;10261;8693.54980469
282;PARÁ;Portel;166577.46875;48945;3403.36010742
283;MINAS GERAIS;Silveirânia;14646.60546875;2193;6678.79980469
284;RIO GRANDE DO SUL;Campo Bom;1244125.625;59366;20956.86914062
285;MINAS GERAIS;São Romão;52772.86328125;9713;5433.22021484
286;MINAS GERAIS;São João das Missões;35754.640625;11267;3173.38989258
287;PARÁ;Breves;300338.15625;101094;2970.87988281
288;PARANÁ;Cerro Azul;182354.265625;18660;9772.46972656
289;GOIÁS;Petrolina de Goiás;71342.0625;10061;7090.95019531
290;RIO GRANDE DO SUL;Coronel Bicaco;115668.953125;7971;14511.21972656
291;PARANÁ;Pinhão;474849.625;30295;15674.19042969
292;PERNAMBUCO;Bezerros;285545.96875;58354;4893.33984375
293;TOCANTINS;Formoso do Araguaia;251944.96875;18719;13459.3203125
294;SÃO PAULO;Piraju;347479.03125;29398;11819.8203125
295;GOIÁS;Santo Antônio da Barra;71073.3515625;4295;16547.9296875
296;SANTA CATARINA;Três Barras;377119.4375;18708;20158.18945312
297;RIO GRANDE DO SUL;São Francisco de Assis;209910.53125;19799;10602.08007812
298;RORAIMA;Mucajaí;146580.046875;13188;11114.65039062
299;SERGIPE;Maruim;157533.96875;15582;10110.0
300;MINAS GERAIS;Lima Duarte;117942.3671875;16494;7150.62011719
301;MINAS GERAIS;Comercinho;40922.234375;8637;4738.02001953
302;SANTA CATARINA;Cunha Porã;231428.96875;11079;20888.98046875
303;PIAUÍ;Paquetá;15219.06542969;4686;3247.77001953
304;AMAZONAS;Nova Olinda do Norte;108783.34375;31012;3507.7800293
305;SANTA CATARINA;Itapoá;136989.625;11489;11923.54980469
306;RIO DE JANEIRO;São Sebastião do Alto;83303.6875;9052;9202.79003906
307;BAHIA;Santaluz;129238.140625;35416;3649.14990234
308;ESPIRITO SANTO;Vargem Alta;174520.09375;18637;9364.16992188
309;MINAS GERAIS;Cordislândia;34203.63671875;3743;9138.03027344
310;MINAS GERAIS;Santa Helena de Minas;24735.28125;6126;4037.75
311;MINAS GERAIS;Leopoldina;510692.75;51545;9907.70996094
312;MINAS GERAIS;Machado;624136.0;39509;15797.30957031
313;PIAUÍ;Lagoinha do Piauí;9008.67675781;2676;3366.4699707
314;RIO GRANDE DO NORTE;Tenente Laurentino Cruz;25890.28125;5369;4822.18017578
315;MATO GROSSO;São Pedro da Cipa;27307.92578125;4241;6439.02978516
316;BAHIA;Alagoinhas;1298216.375;137810;9420.33984375
317;SANTA CATARINA;Ouro Verde;63212.0859375;2179;29009.6796875
318;TOCANTINS;Paranã;63521.6015625;10824;5868.58984375
319;RIO GRANDE DO NORTE;São José de Mipibu;224160.21875;38404;5836.89990234
320;SÃO PAULO;Cunha;127499.703125;23735;5371.79980469
321;MINAS GERAIS;Coroaci;55665.796875;11131;5000.97021484
322;MINAS GERAIS;Rubim;50577.96484375;9855;5132.20996094
323;MINAS GERAIS;Patrocínio do Muriaé;30995.88867188;5613;5522.16015625
324;MINAS GERAIS;Conceição do Pará;114920.3671875;4866;23617.00976562
325;PARAÍBA;Santo André;11492.10351562;2707;4245.33007812
326;MINAS GERAIS;Capitão Enéas;170824.125;14830;11518.8203125
327;SÃO PAULO;Valinhos;3042457.0;107481;28306.9296875
328;MINAS GERAIS;Nova Serrana;619228.5625;67967;9110.71972656
329;SÃO PAULO;Florínia;97524.5234375;2856;34147.23828125
330;MINAS GERAIS;Pedro Leopoldo;865962.75;59064;14661.4296875
331;BAHIA;Itiruçu;68143.1640625;16827;4049.62988281
332;PARANÁ;Novo Itacolomi;23699.01367188;2808;8439.8203125
333;AMAZONAS;Manaus;40486108.0;1738641;23286.06054688
334;PARAÍBA;Tenório;12547.22851562;2921;4295.52978516
335;MINAS GERAIS;Rio Espera;28883.20703125;6728;4292.99023438
336;ACRE;Senador Guiomard;217153.859375;19697;11024.71972656
337;GOIÁS;Jussara;188344.21875;19130;9845.49023438
338;MINAS GERAIS;Guarani;78912.1640625;10049;7852.74023438
339;SÃO PAULO;Fernandópolis;978006.125;63539;15392.21972656
340;SÃO PAULO;Riolândia;100229.5703125;10542;9507.63964844
341;PIAUÍ;São Gonçalo do Gurguéia;10072.890625;2544;3959.4699707
342;TOCANTINS;Crixás do Tocantins;20361.1640625;1289;15796.08984375
343;PIAUÍ;Jardim do Mulato;14268.64648438;4318;3304.45996094
344;MARANHÃO;Godofredo Viana;31905.390625;11207;2846.91992188
345;MINAS GERAIS;Aguanil;29883.59179688;4315;6925.50976562
346;MINAS GERAIS;Ribeirão das Neves;1712842.5;349307;4903.54003906
347;RIO GRANDE DO NORTE;Ruy Barbosa;17067.80664062;3730;4575.81982422
348;BAHIA;Mulungu do Morro;39825.95703125;13879;2869.51000977
349;RIO GRANDE DO SUL;Ajuricaba;129304.8671875;7374;17535.24023438
350;ALAGOAS;Marechal Deodoro;620477.5;47623;13028.95019531
351;PIAUÍ;Acauã;22335.9765625;7354;3037.26000977
352;MINAS GERAIS;Itutinga;55648.8046875;4165;13361.05957031
353;PERNAMBUCO;Limoeiro;269157.125;57243;4702.00976562
354;CEARÁ;Aratuba;50276.91796875;12478;4029.23999023
355;RIO GRANDE DO SUL;Boa Vista das Missões;54992.50390625;2100;26186.91015625
356;CEARÁ;Pindoretama;76975.75;18322;4201.27001953
357;MINAS GERAIS;Sabará;1005070.625;126195;7964.43017578
358;PARANÁ;Rio Branco do Sul;550602.9375;33142;16613.44921875
359;BAHIA;Cabaceiras do Paraguaçu;58247.78515625;18569;3136.83007812
360;MINAS GERAIS;São Geraldo do Baixio;21757.00390625;3461;6286.33007812
361;SANTA CATARINA;Jardinópolis;23165.56445312;1881;12315.55957031
362;MINAS GERAIS;Lagoa Santa;672530.5;48213;13949.15039062
363;MINAS GERAIS;Senador Cortes;14030.48046875;2082;6738.93994141
364;MINAS GERAIS;Nepomuceno;233659.203125;25152;9289.88964844
365;MATO GROSSO;Cocalinho;93218.71875;6103;15274.24023438
366;PIAUÍ;Sebastião Barros;17421.07421875;4270;4079.87988281
367;BAHIA;Tanque Novo;70092.859375;16466;4256.81982422
368;MINAS GERAIS;Brás Pires;20628.4296875;4615;4469.87011719
369;MINAS GERAIS;Monte Azul;94946.1875;22838;4157.37988281
370;SÃO PAULO;Mauá;6574846.5;417458;15749.71972656
371;BAHIA;Planaltino;31850.30078125;8880;3586.75
372;MINAS GERAIS;Tupaciguara;294354.84375;23841;12346.58007812
373;MATO GROSSO DO SUL;Alcinópolis;92977.2265625;4515;20592.9609375
374;BAHIA;Serrinha;393287.0625;73859;5324.83984375
375;SANTA CATARINA;Abdon Batista;35731.484375;2805;12738.5
376;MARANHÃO;Carutapera;67091.46875;21121;3176.5300293
377;RIO DE JANEIRO;Cantagalo;622857.5;20540;30324.11914062
378;CEARÁ;Boa Viagem;195497.71875;56236;3476.37988281
379;MINAS GERAIS;Sacramento;527058.9375;23112;22804.56054688
380;BAHIA;Ipiaú;271794.59375;43723;6216.27978516
381;SANTA CATARINA;Bom Jardim da Serra;47566.6953125;4383;10852.54003906
382;SÃO PAULO;Várzea Paulista;1421194.0;107211;13256.04980469
383;GOIÁS;Rio Quente;49451.97265625;3285;15053.87011719
384;PIAUÍ;Santana do Piauí;15979.00292969;5015;3186.23999023
385;RIO GRANDE DO SUL;Carlos Gomes;20166.66992188;1718;11738.45996094
386;SÃO PAULO;Riversul;43661.6171875;6520;6696.56982422
387;ACRE;Assis Brasil;48347.30078125;5662;8538.91015625
388;PARAÍBA;Araruna;78491.8515625;20009;3922.83007812
389;MINAS GERAIS;Jequitaí;44734.484375;8117;5511.20996094
390;BAHIA;Conceição do Jacuípe;404286.28125;28769;14052.83984375
391;BAHIA;Ibirapitanga;94739.7421875;24223;3911.14990234
392;GOIÁS;Acreúna;292935.15625;19246;15220.5703125
393;ALAGOAS;São Miguel dos Milagres;29789.48828125;7601;3919.14990234
394;MATO GROSSO;Pontes e Lacerda;523958.28125;39228;13356.74023438
